time,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P,S_O,S_NO,S_NH,S_ND,X_ND,S_ALK,S_N2,X_INORG
0.007508,0.000000,-2731.528809,0.000000,-3961.104004,3879.905029,58.778980,130.641464,0.000000,272.248383,-600.279053,-38.512177,-45.466507,-0.062323,65.444038,0.000000
0.007758,0.000000,-2516.195312,0.000000,-3957.162354,3732.766602,58.720863,130.688736,0.000000,273.366119,-589.303345,-36.260544,-45.804810,-0.061619,64.093346,0.000000
0.008008,0.000000,-2310.630371,0.000000,-3953.100098,3592.099121,58.662971,130.734543,0.000000,274.446106,-578.773560,-34.122055,-46.141342,-0.060944,62.781300,0.000000
0.008258,0.000000,-2115.514160,0.000000,-3948.909668,3458.355957,58.605362,130.778442,0.000000,275.479309,-568.734253,-32.092072,-46.475632,-0.060301,61.517242,0.000000
0.008509,0.000000,-1931.366211,0.000000,-3944.606934,3331.892578,58.547924,130.820786,0.000000,276.457123,-559.220581,-30.165115,-46.807831,-0.059691,60.309238,0.000000
0.008759,0.000000,-1758.526855,0.000000,-3940.188965,3212.936768,58.490719,130.861572,0.000000,277.373688,-550.257568,-28.335922,-47.138123,-0.059117,59.163464,0.000000
0.009009,0.000000,-1597.161621,0.000000,-3935.663086,3101.603027,58.433590,130.900894,0.000000,278.223633,-541.859131,-26.599716,-47.466553,-0.058577,58.084538,0.000000
0.009259,0.000000,-1447.244141,0.000000,-3931.033691,2997.876465,58.376694,130.938950,0.000000,279.005127,-534.029541,-24.951736,-47.793152,-0.058074,57.075211,0.000000
0.009510,0.000000,-1308.645996,0.000000,-3926.303711,2901.673340,58.319794,130.975632,0.000000,279.715210,-526.764526,-23.387711,-48.118027,-0.057606,56.137131,0.000000
0.009760,0.000000,-1181.088867,0.000000,-3921.481445,2812.810059,58.262966,131.011368,0.000000,280.354156,-520.052734,-21.903870,-48.441040,-0.057172,55.270554,0.000000
0.010010,0.000000,-1064.182129,0.000000,-3916.567871,2731.026367,58.206085,131.045944,0.000000,280.922394,-513.875305,-20.495834,-48.762405,-0.056771,54.474434,0.000000
0.010260,0.000000,-957.459961,0.000000,-3911.568359,2656.013672,58.149147,131.079651,0.000000,281.421600,-508.209259,-19.160263,-49.081879,-0.056402,53.746998,0.000000
0.010511,0.000000,-860.391602,0.000000,-3906.477051,2587.412598,58.092140,131.112259,0.000000,281.854706,-503.027802,-17.892365,-49.400238,-0.056063,53.085522,0.000000
0.010761,0.000000,-772.403320,0.000000,-3901.305664,2524.844727,58.034977,131.144119,0.000000,282.224182,-498.300659,-16.690094,-49.716690,-0.055752,52.486935,0.000000
0.011011,0.000000,-692.889160,0.000000,-3896.060547,2467.908447,57.977619,131.175308,0.000000,282.533539,-493.996582,-15.549789,-50.031555,-0.055466,51.947685,0.000000
0.011261,0.000000,-621.241211,0.000000,-3890.737305,2416.193848,57.920048,131.205826,0.000000,282.786530,-490.083405,-14.468338,-50.344833,-0.055205,51.463871,0.000000
0.011512,0.000000,-556.849609,0.000000,-3885.343750,2369.295898,57.862179,131.235840,0.000000,282.986694,-486.528687,-13.442902,-50.656479,-0.054965,51.031574,0.000000
0.011762,0.000000,-499.110840,0.000000,-3879.871338,2326.807129,57.804085,131.264954,0.000000,283.138794,-483.300720,-12.470078,-50.966995,-0.054746,50.646549,0.000000
0.012012,0.000000,-447.458008,0.000000,-3874.334473,2288.353760,57.745628,131.293839,0.000000,283.245697,-480.369080,-11.548065,-51.275818,-0.054544,50.305084,0.000000
0.012262,0.000000,-401.334961,0.000000,-3868.728516,2253.562012,57.686806,131.322144,0.000000,283.311554,-477.704498,-10.673859,-51.583084,-0.054358,50.003181,0.000000
0.012513,0.000000,-360.229004,0.000000,-3863.056641,2222.088623,57.627586,131.350037,0.000000,283.339844,-475.279480,-9.845169,-51.888962,-0.054187,49.737175,0.000000
0.012763,0.000000,-323.649902,0.000000,-3857.320068,2193.607910,57.567982,131.377518,0.000000,283.334198,-473.068481,-9.059448,-52.193542,-0.054029,49.503529,0.000000
0.013013,0.000000,-291.146973,0.000000,-3851.525146,2167.819336,57.507843,131.404907,0.000000,283.297089,-471.046722,-8.315567,-52.496216,-0.053882,49.298981,0.000000
0.013263,0.000000,-262.305664,0.000000,-3845.667725,2144.444092,57.447250,131.431870,0.000000,283.232147,-469.193207,-7.610245,-52.797714,-0.053745,49.120403,0.000000
0.013514,0.000000,-236.745117,0.000000,-3839.751953,2123.228027,57.386086,131.458679,0.000000,283.141541,-467.487335,-6.941895,-53.097641,-0.053616,48.965008,0.000000
0.013764,0.000000,-214.123535,0.000000,-3833.770508,2103.940674,57.324608,131.484894,0.000000,283.029419,-465.911987,-6.309052,-53.396454,-0.053496,48.830116,0.000000
0.014014,0.000000,-194.117676,0.000000,-3827.733887,2086.369141,57.262428,131.511032,0.000000,282.895935,-464.449310,-5.709259,-53.693771,-0.053382,48.713421,0.000000
0.014264,0.000000,-176.447266,0.000000,-3821.638184,2070.323486,57.199627,131.536972,0.000000,282.743713,-463.084961,-5.140793,-53.989899,-0.053273,48.612732,0.000000
0.014515,0.000000,-160.836914,0.000000,-3815.493652,2055.625977,57.136452,131.562836,0.000000,282.576324,-461.805847,-4.604034,-54.283859,-0.053170,48.526070,0.000000
0.014765,0.000000,-147.076660,0.000000,-3809.291016,2042.129761,57.072517,131.588516,0.000000,282.393158,-460.599731,-4.095139,-54.576782,-0.053071,48.451729,0.000000
0.015015,0.000000,-134.954590,0.000000,-3803.037109,2029.696655,57.007973,131.614212,0.000000,282.196686,-459.456329,-3.613785,-54.868195,-0.052975,48.388157,0.000000
0.015265,0.000000,-124.277832,0.000000,-3796.715820,2018.190796,56.942833,131.639145,0.000000,281.988739,-458.366516,-3.157272,-55.158493,-0.052883,48.333672,0.000000
0.015516,0.000000,-114.885742,0.000000,-3790.348145,2007.513306,56.876976,131.664276,0.000000,281.769562,-457.321198,-2.726013,-55.447098,-0.052792,48.287319,0.000000
0.015766,0.000000,-106.630371,0.000000,-3783.928467,1997.563354,56.810417,131.689270,0.000000,281.540497,-456.313507,-2.318298,-55.734116,-0.052704,48.247887,0.000000
0.016016,0.000000,-99.373535,0.000000,-3777.453125,1988.244873,56.743263,131.714249,0.000000,281.303284,-455.337280,-1.931763,-56.020370,-0.052617,48.214260,0.000000
0.016266,0.000000,-93.006348,0.000000,-3770.926270,1979.489258,56.675346,131.739044,0.000000,281.057770,-454.386322,-1.566864,-56.304764,-0.052532,48.185677,0.000000
0.016517,0.000000,-87.425781,0.000000,-3764.347656,1971.226196,56.606697,131.763748,0.000000,280.804962,-453.456116,-1.221786,-56.587860,-0.052447,48.161335,0.000000
0.016767,0.000000,-82.527832,0.000000,-3757.718018,1963.387451,56.537304,131.788300,0.000000,280.545532,-452.541626,-0.895859,-56.869308,-0.052363,48.140450,0.000000
0.017017,0.000000,-78.244141,0.000000,-3751.036133,1955.925049,56.467133,131.812820,0.000000,280.279938,-451.639709,-0.587936,-57.149353,-0.052280,48.122505,0.000000
0.017267,0.000000,-74.497070,0.000000,-3744.306641,1948.790283,56.396210,131.837326,0.000000,280.008789,-450.747009,-0.297150,-57.427887,-0.052197,48.106972,0.000000
0.017518,0.000000,-71.222656,0.000000,-3737.526855,1941.938354,56.324497,131.861847,0.000000,279.732483,-449.860718,-0.022690,-57.704742,-0.052114,48.093338,0.000000
0.017768,0.000000,-68.370117,0.000000,-3730.684082,1935.330200,56.251911,131.885742,0.000000,279.451050,-448.977142,0.236679,-57.980835,-0.052031,48.081059,0.000000
0.018018,0.000000,-65.881836,0.000000,-3723.799316,1928.936279,56.178551,131.909897,0.000000,279.165283,-448.095917,0.481186,-58.255020,-0.051947,48.069977,0.000000
0.018268,0.000000,-63.714844,0.000000,-3716.862793,1922.723877,56.104362,131.933929,0.000000,278.875305,-447.214355,0.711807,-58.527664,-0.051864,48.059673,0.000000
0.018519,0.000000,-61.831055,0.000000,-3709.876953,1916.668823,56.029358,131.957870,0.000000,278.581451,-446.331268,0.929230,-58.798782,-0.051779,48.049885,0.000000
0.018769,0.000000,-60.212891,0.000000,-3702.839844,1910.756714,55.953281,131.981903,0.000000,278.282410,-445.443970,1.133575,-59.068497,-0.051695,48.040504,0.000000
0.019019,0.000000,-58.805664,0.000000,-3695.752441,1904.953125,55.876419,132.005722,0.000000,277.980286,-444.552765,1.326340,-59.336639,-0.051610,48.031109,0.000000
0.019269,0.000000,-57.594727,0.000000,-3688.615479,1899.247925,55.798645,132.029480,0.000000,277.674408,-443.656342,1.507675,-59.603180,-0.051524,48.021622,0.000000
0.019520,0.000000,-56.554688,0.000000,-3681.428711,1893.624512,55.719887,132.053162,0.000000,277.364655,-442.753357,1.678146,-59.868118,-0.051437,48.011887,0.000000
0.019770,0.000000,-55.666504,0.000000,-3674.192383,1888.069580,55.640301,132.076859,0.000000,277.051971,-441.844269,1.838440,-60.131592,-0.051350,48.001770,0.000000
0.020020,0.000000,-54.908691,0.000000,-3666.905762,1882.569092,55.559669,132.100418,0.000000,276.735352,-440.927063,1.988892,-60.393402,-0.051262,47.991127,0.000000
0.020270,0.000000,-54.268555,0.000000,-3659.569824,1877.114380,55.478043,132.123947,0.000000,276.415131,-440.001831,2.130020,-60.653625,-0.051173,47.979893,0.000000
0.020521,0.000000,-53.734375,0.000000,-3652.183105,1871.696777,55.395382,132.147400,0.000000,276.091217,-439.067993,2.262192,-60.912186,-0.051083,47.967983,0.000000
0.020771,0.000000,-53.289551,0.000000,-3644.747070,1866.306396,55.311653,132.170853,0.000000,275.763550,-438.125000,2.385773,-61.169052,-0.050992,47.955311,0.000000
0.021021,0.000000,-52.917480,0.000000,-3637.261230,1860.932495,55.227097,132.194016,0.000000,275.433685,-437.174866,2.502686,-61.424591,-0.050901,47.941730,0.000000
0.021271,0.000000,-52.618652,0.000000,-3629.725586,1855.574463,55.141312,132.217239,0.000000,275.099243,-436.214050,2.611115,-61.678253,-0.050808,47.927334,0.000000
0.021522,0.000000,-52.383301,0.000000,-3622.140381,1850.225342,55.054428,132.240417,0.000000,274.761169,-435.243774,2.712326,-61.930252,-0.050715,47.912022,0.000000
0.021772,0.000000,-52.203125,0.000000,-3614.505371,1844.880371,54.966415,132.263535,0.000000,274.419281,-434.263794,2.806641,-62.180542,-0.050620,47.895779,0.000000
0.022022,0.000000,-52.070312,0.000000,-3606.820557,1839.534424,54.877262,132.286575,0.000000,274.073578,-433.274017,2.894424,-62.429169,-0.050525,47.878555,0.000000
0.022272,0.000000,-51.976074,0.000000,-3599.084961,1834.180542,54.787022,132.309525,0.000000,273.724518,-432.274841,2.976181,-62.675919,-0.050429,47.860279,0.000000
0.022523,0.000000,-51.922852,0.000000,-3591.299805,1828.820801,54.695534,132.332397,0.000000,273.371124,-431.265381,3.051865,-62.920990,-0.050331,47.841026,0.000000
0.022773,0.000000,-51.899414,0.000000,-3583.466553,1823.449341,54.602810,132.355240,0.000000,273.013611,-430.245789,3.121948,-63.164322,-0.050233,47.820724,0.000000
0.023023,0.000000,-51.906250,0.000000,-3575.582031,1818.064331,54.508846,132.378006,0.000000,272.651947,-429.216064,3.186646,-63.405853,-0.050133,47.799393,0.000000
0.023273,0.000000,-51.939453,0.000000,-3567.647705,1812.663696,54.413593,132.400696,0.000000,272.285950,-428.176331,3.246262,-63.645569,-0.050033,47.777008,0.000000
0.023524,0.000000,-51.992676,0.000000,-3559.665039,1807.244751,54.317047,132.423325,0.000000,271.915527,-427.126282,3.300995,-63.883484,-0.049932,47.753578,0.000000
0.023774,0.000000,-52.065918,0.000000,-3551.631348,1801.804810,54.219139,132.445892,0.000000,271.540527,-426.065918,3.351089,-64.119553,-0.049829,47.729065,0.000000
0.024024,0.000000,-52.160156,0.000000,-3543.545410,1796.344604,54.120049,132.468399,0.000000,271.161835,-424.996460,3.396835,-64.353790,-0.049726,47.703510,0.000000
0.024274,0.000000,-52.266113,0.000000,-3535.411621,1790.860596,54.019455,132.490814,0.000000,270.777802,-423.916016,3.438370,-64.586166,-0.049621,47.676880,0.000000
0.024525,0.000000,-52.386719,0.000000,-3527.227295,1785.352417,53.917427,132.513184,0.000000,270.388794,-422.825226,3.475861,-64.816620,-0.049515,47.649212,0.000000
0.024775,0.000000,-52.519531,0.000000,-3518.992676,1779.819580,53.813957,132.535446,0.000000,269.994843,-421.724304,3.509506,-65.045135,-0.049409,47.620476,0.000000
